Incident ID,Incident Type,Priority,Status,New TIME,Resolved TIME,Closed TIME,First Name,Last Name,Company
INC000000201857,User Service Restoration,Low,Closed,31/08/2011 23:49,31/08/2011 23:49,16/09/2011 07:00,Fred,Grantt,Acme
INC000000201849,User Service Restoration,Medium,Closed,31/08/2011 23:28,31/08/2011 23:28,16/09/2011 07:00,Mike,Van de berg,Spear
INC000000201847,User Service Request,Medium,Closed,31/08/2011 23:44,31/08/2011 23:44,16/09/2011 07:00,Jeena,Gillio,Acme
INC000000201846,User Service Restoration,Medium,Closed,31/08/2011 23:20,31/08/2011 23:20,16/09/2011 07:00,Billy,Nurff,Spear
INC000000201841,User Service Request,Medium,Closed,31/08/2011 23:14,31/08/2011 23:14,16/09/2011 07:00,Bryon,Grantt,Acme
INC000000201839,User Service Request,Medium,Closed,31/08/2011 23:05,31/08/2011 23:05,16/09/2011 07:00,Fred,Van de berg,Spear
INC000000201834,User Service Restoration,High,Closed,31/08/2011 22:51,31/08/2011 23:13,16/09/2011 07:00,Mike,Gillio,Acme
INC000000201825,User Service Restoration,Medium,Closed,31/08/2011 22:20,31/08/2011 22:20,16/09/2011 07:00,Jeena,Nurff,Spear
INC000000201823,User Service Restoration,High,Closed,31/08/2011 22:23,31/08/2011 22:23,16/09/2011 07:00,Billy,Grantt,Acme
INC000000201819,User Service Request,High,Closed,31/08/2011 22:14,31/08/2011 22:14,16/09/2011 07:00,Bryon,Van de berg,Spear
INC000000201812,User Service Request,Low,Closed,31/08/2011 22:09,31/08/2011 22:09,16/09/2011 07:00,Fred,Gillio,Acme
INC000000201811,User Service Restoration,Low,Closed,31/08/2011 22:08,31/08/2011 22:08,16/09/2011 07:00,Mike,Nurff,Spear
INC000000201806,User Service Request,Medium,Closed,31/08/2011 22:00,31/08/2011 22:00,16/09/2011 07:00,Jeena,Grantt,Acme
INC000000201805,User Service Request,Medium,Closed,31/08/2011 21:59,31/08/2011 21:59,16/09/2011 07:00,Billy,Van de berg,Spear
INC000000201803,User Service Request,Medium,Closed,31/08/2011 21:56,31/08/2011 21:56,16/09/2011 07:00,Bryon,Gillio,Acme
INC000000201801,User Service Restoration,Medium,Closed,31/08/2011 22:01,31/08/2011 22:01,16/09/2011 07:00,Fred,Nurff,Spear
INC000000201800,User Service Restoration,Medium,Closed,31/08/2011 21:54,31/08/2011 21:54,16/09/2011 07:00,Mike,Grantt,Acme
INC000000201799,User Service Restoration,Low,Closed,31/08/2011 21:54,31/08/2011 21:54,16/09/2011 07:00,Jeena,Van de berg,Spear
INC000000201798,User Service Restoration,Medium,Closed,31/08/2011 21:53,31/08/2011 21:53,16/09/2011 07:00,Billy,Gillio,Acme
